"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"89",8,"Will Fuller V",MIA,"WR40","14","27","3 out of 5 stars","-2"
"90",8,"Chase Edmonds",ARI,"RB33","12","25","3 out of 5 stars","-20"
"91",8,"Elijah Moore",NYJ,"WR41","6","21","4 out of 5 stars","-11"
"92",8,"Curtis Samuel",WAS,"WR42","9","25","3 out of 5 stars","-1"
"93",8,"Zack Moss",BUF,"RB34","7","23","3 out of 5 stars","-5"
"94",8,"Trey Lance",SF,"QB10","6","21","5 out of 5 stars","-4"
"95",8,"Michael Gallup",DAL,"WR43","7","25","1 out of 5 stars","+33"
"96",8,"Melvin Gordon III",DEN,"RB35","11","28","5 out of 5 stars","+26"
"97",8,"Aaron Rodgers",GB,"QB11","13","37","2 out of 5 stars","-12"
"98",8,"Michael Pittman Jr.",IND,"WR44","14","23","5 out of 5 stars","-16"
"99",8,"Mike Davis",ATL,"RB36","6","28","2 out of 5 stars","-27"
"100",8,"Mike Gesicki",MIA,"TE9","14","25","4 out of 5 stars","+27"
"101",8,"Justin Fields",CHI,"QB12","10","22","2 out of 5 stars","-7"
"102",8,"Tony Pollard",DAL,"RB37","7","24","2 out of 5 stars","-9"
"103",8,"Irv Smith Jr.",MIN,"TE10","7","23","2 out of 5 stars","+28"
"104",8,"Rondale Moore",ARI,"WR45","12","21","2 out of 5 stars","+20"
"105",8,"Brandin Cooks",HOU,"WR46","10","27","3 out of 5 stars","+24"
"106",8,"Raheem Mostert",SF,"RB38","6","29","3 out of 5 stars","-25"
"107",8,"Corey Davis",NYJ,"WR47","6","26","4 out of 5 stars","+26"
"108",8,"Deshaun Watson",HOU,"QB13","10","25","4 out of 5 stars","-16"
"109",8,"Leonard Fournette",TB,"RB39","9","26","0 out of 5 stars","+14"
"110",8,"Ryan Tannehill",TEN,"QB14","13","33","2 out of 5 stars","-4"
"111",8,"Robby Anderson",CAR,"WR48","13","28","5 out of 5 stars","+14"
"112",8,"Jarvis Landry",CLE,"WR49","13","28","1 out of 5 stars","-23"
"113",8,"James Conner",ARI,"RB40","12","26","3 out of 5 stars","+21"
"114",8,"Jonnu Smith",NE,"TE11","14","26","5 out of 5 stars","+28"
"115",8,"Kenyan Drake",LV,"RB41","8","27","2 out of 5 stars","-14"
"116",8,"Robert Tonyan",GB,"TE12","13","27","3 out of 5 stars","-12"
"117",8,"Jalen Reagor",PHI,"WR50","14","22","3 out of 5 stars","+18"
"118",8,"Tua Tagovailoa",MIA,"QB15","14","23","4 out of 5 stars","+1"
"119",8,"Jalen Hurts",PHI,"QB16","14","23","4 out of 5 stars","-21"
"120",9,"Marquise Brown",BAL,"WR51","8","24","2 out of 5 stars","-21"
"121",9,"Devin Singletary",BUF,"RB42","7","23","3 out of 5 stars","-13"
"122",9,"Terrace Marshall Jr.",CAR,"WR52","13","21","5 out of 5 stars","+8"
"123",9,"Darnell Mooney",CHI,"WR53","10","23","3 out of 5 stars","-23"
"124",9,"Henry Ruggs III",LV,"WR54","8","22","1 out of 5 stars","-28"
"125",9,"Matthew Stafford",LAR,"QB17","11","33","4 out of 5 stars","-15"
"126",9,"Logan Thomas",WAS,"TE13","9","30","3 out of 5 stars","-23"
"127",9,"Zach Wilson",NYJ,"QB18","6","22","3 out of 5 stars","-6"
"128",9,"Hunter Henry",NE,"TE14","14","26","5 out of 5 stars","-17"
"129",9,"DeVante Parker",MIA,"WR55","14","28","3 out of 5 stars","-16"
"130",9,"Mike Williams",LAC,"WR56","7","26","3 out of 5 stars","-35"
"131",9,"Baker Mayfield",CLE,"QB19","13","26","3 out of 5 stars","-13"
"132",9,"Cole Kmet",CHI,"TE15","10","22","1 out of 5 stars","+22"
"133",9,"Evan Engram",NYG,"TE16","10","27","3 out of 5 stars","-19"
"134",9,"Nyheim Hines",IND,"RB43","14","24","4 out of 5 stars","+4"
"135",9,"Kenneth Gainwell",PHI,"RB44","14","22","3 out of 5 stars","+5"
"136",9,"Tyler Higbee",LAR,"TE17","11","28","2 out of 5 stars","-16"
"137",9,"Alexander Mattison",MIN,"RB45","7","23","3 out of 5 stars","-20"
"138",9,"David Johnson",HOU,"RB46","10","29","4 out of 5 stars","-2"
"139",9,"Adam Trautman",NO,"TE18","6","24","4 out of 5 stars","-13"
"140",9,"Amon-Ra St. Brown",DET,"WR57","9","21","1 out of 5 stars","+4"
"141",9,"Mecole Hardman",KC,"WR58","12","23","3 out of 5 stars","-25"
"142",9,"Phillip Lindsay",HOU,"RB47","10","27","4 out of 5 stars","+13"
"143",9,"Parris Campbell",IND,"WR59","14","24","5 out of 5 stars","+15"
"144",9,"Austin Hooper",CLE,"TE19","13","26","2 out of 5 stars","+28"
"145",10,"Gus Edwards",BAL,"RB48","8","26","4 out of 5 stars","-6"
"146",10,"Tarik Cohen",CHI,"RB49","10","26","3 out of 5 stars","+18"
"147",10,"Carson Wentz",IND,"QB20","14","28","4 out of 5 stars","+38"
"148",10,"Matt Ryan",ATL,"QB21","6","36","3 out of 5 stars","+39"
"149",10,"Denzel Mims",NYJ,"WR60","6","23","4 out of 5 stars","-1"
"150",10,"Gabriel Davis",BUF,"WR61","7","22","3 out of 5 stars","-7"
"151",10,"Chuba Hubbard",CAR,"RB50","13","22","2 out of 5 stars","-4"
"152",10,"Kirk Cousins",MIN,"QB22","7","33","3 out of 5 stars","+36"
"153",10,"Christian Kirk",ARI,"WR62","12","24","2 out of 5 stars","+7"
"154",10,"Jamaal Williams",DET,"RB51","9","26","0 out of 5 stars","-5"
"155",10,"Mac Jones",NE,"QB23","14","22","5 out of 5 stars","+41"
"156",10,"Bryan Edwards",LV,"WR63","8","22","1 out of 5 stars","+7"
"157",10,"Rashaad Penny",SEA,"RB52","9","25","1 out of 5 stars","+9"
"158",10,"Dyami Brown",WAS,"WR64","9","21","3 out of 5 stars","+9"
"159",10,"J.D. McKissic",WAS,"RB53","9","28","3 out of 5 stars","-6"
"160",10,"Pat Freiermuth",PIT,"TE20","7","22","5 out of 5 stars","-3"
"161",10,"Rhamondre Stevenson",NE,"RB54","14","23","3 out of 5 stars","+4"
"162",10,"Kadarius Toney",NYG,"WR65","10","22","3 out of 5 stars","-21"
"163",10,"Tom Brady",TB,"QB24","9","44","2 out of 5 stars","-31"
"164",10,"Antonio Brown",TB,"WR66","9","33","2 out of 5 stars","-52"
"165",10,"Derek Carr",LV,"QB25","8","30","3 out of 5 stars","+66"
"166",10,"Daniel Jones",NYG,"QB26","10","24","4 out of 5 stars","+44"
"167",10,"Gerald Everett",SEA,"TE21","9","27","1 out of 5 stars","+30"
"168",10,"Zach Ertz",PHI,"TE22","14","30","3 out of 5 stars","+5"
"169",10,"Sony Michel",LAR,"RB55","11","26","4 out of 5 stars","+24"
"170",10,"Darius Slayton",NYG,"WR67","10","24","3 out of 5 stars","+5"
"171",10,"Jared Goff",DET,"QB27","9","26","1 out of 5 stars","+115"
"172",10,"Marvin Jones Jr.",JAC,"WR68","7","31","5 out of 5 stars","-16"
"173",10,"Latavius Murray",NO,"RB56","6","31","2 out of 5 stars","-12"
"174",10,"Sterling Shepard",NYG,"WR69","10","28","3 out of 5 stars","+6"
"175",10,"Blake Jarwin",DAL,"TE23","7","27","2 out of 5 stars","+11"
"176",10,"Sam Darnold",CAR,"QB28","13","24","4 out of 5 stars","+40"
"177",10,"Jamison Crowder",NYJ,"WR70","6","28","4 out of 5 stars","-3"
"178",10,"Amari Rodgers",GB,"WR71","13","21","1 out of 5 stars","-9"
"179",10,"James White",NE,"RB57","14","29","3 out of 5 stars","+21"
"180",10,"T.Y. Hilton",IND,"WR72","14","31","5 out of 5 stars","-4"
"181",10,"O.J. Howard",TB,"TE24","9","26","3 out of 5 stars","+37"
"182",10,"Nico Collins",HOU,"WR73","10","22","3 out of 5 stars","-11"
"183",10,"Joshua Kelley",LAC,"RB58","7","23","4 out of 5 stars","+20"
"184",10,"John Brown",LV,"WR74","8","31","1 out of 5 stars","+40"
"185",10,"Hayden Hurst",ATL,"TE25","6","28","2 out of 5 stars","+66"
"186",11,"Jakobi Meyers",NE,"WR75","14","24","4 out of 5 stars","+4"
"187",11,"Van Jefferson",LAR,"WR76","11","25","5 out of 5 stars","+18"
"188",11,"Nelson Agholor",NE,"WR77","14","28","4 out of 5 stars","-18"
"189",11,"Marlon Mack",IND,"RB59","14","25","4 out of 5 stars","-52"
"190",11,"D'Wayne Eskridge",SEA,"WR78","9","24","1 out of 5 stars","-11"
"191",11,"Ke'Shawn Vaughn",TB,"RB60","9","24","0 out of 5 stars","+3"
"192",11,"Eric Ebron",PIT,"TE26","7","28","5 out of 5 stars","+67"
"193",11,"KJ Hamler",DEN,"WR79","11","22","4 out of 5 stars","+6"
"194",11,"Darrynton Evans",TEN,"RB61","13","23","3 out of 5 stars","-12"
"195",11,"Cole Beasley",BUF,"WR80","7","32","3 out of 5 stars","-17"
"196",11,"Jameis Winston",NO,"QB29","6","27","3 out of 5 stars","-13"
"197",11,"Anthony Firkser",TEN,"TE27","13","26","2 out of 5 stars","+5"
"198",11,"Salvon Ahmed",MIA,"RB62","14","22","4 out of 5 stars","+3"
"199",11,"Jeff Wilson Jr.",SF,"RB63","6","25","3 out of 5 stars","+22"
"200",11,"Allen Lazard",GB,"WR81","13","25","1 out of 5 stars","+12"
"201",11,"Russell Gage",ATL,"WR82","6","25","4 out of 5 stars","-33"
"202",11,"Wayne Gallman",SF,"RB64","6","26","3 out of 5 stars","+58"
"203",11,"Kerryon Johnson",FA,"RB65","-","24","-","+65"
"204",11,"Sammy Watkins",BAL,"WR83","8","28","2 out of 5 stars","+2"
